radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,404,78,33081,20213315,0,77.510604858398,23.192825317382997,1000,1,1,1457562229,1457562229,0
UMTS,404,78,33081,20244785,0,77.444686889648,23.183212280273,1000,18,1,1458633520,1489286578,0
UMTS,404,78,33101,20341817,0,77.286758422852,23.257369995117003,1000,1,1,1418517065,1418517065,0
UMTS,404,78,35500,11143,0,77.256546020508,23.264236450194996,1000,1,1,1417939015,1417939015,0
UMTS,404,78,35500,11843,0,77.41310119628899,23.243637084960998,1000,1,1,1429534159,1429534159,0
UMTS,404,78,35500,10073,0,77.38151550293,23.242263793944996,1000,1,1,1429534159,1429534159,0
UMTS,404,78,35500,10351,0,77.40623474121101,23.287582397460998,1000,1,1,1417939015,1417939015,0
UMTS,404,78,38004,10771,0,77.432327270508,23.245010375977,1000,1,1,1429534159,1429534159,0
UMTS,404,78,39045,51703,0,77.43507385253899,23.235397338867003,1000,1,1,1438599320,1438599320,0
UMTS,404,78,39045,13553,0,77.40211486816399,23.235397338867003,1000,1,1,1438988528,1438988528,0
UMTS,404,78,38004,20206616,0,77.441940307617,23.236770629882997,1000,1,1,1456440188,1456440188,0
UMTS,404,78,35501,19879606,0,77.458419799805,23.268356323242003,1000,1,1,1427370588,1427370588,0
UMTS,404,78,35500,19879137,0,77.443313598633,23.253250122070003,1000,1,1,1427370588,1427370588,0
UMTS,404,78,38009,11922,0,77.44606018066399,23.163986206055004,1000,1,1,1438950972,1438950972,0
UMTS,404,78,35500,10442,0,77.397994995117,23.243637084960998,1000,1,1,1429534159,1429534159,0
GSM,404,78,30973,11881,0,77.356796264648,23.312301635742003,1000,2,1,1459378267,1459578947,0
GSM,404,78,30976,12772,0,77.477646,23.164444,1387,6,1,1459378268,1480315317,0
GSM,404,78,30976,10323,0,77.45452900000001,23.183212,1000,6,1,1459378267,1489359648,0
GSM,404,78,30976,12161,0,77.455215,23.184814000000003,1000,6,1,1459378268,1489663156,0
GSM,404,78,30973,12223,0,77.356796264648,23.312301635742003,1000,2,1,1459378267,1459578947,0
GSM,404,78,30973,12221,0,77.35817,23.311844,1000,3,1,1459378267,1479515450,0
GSM,404,78,30976,12422,0,77.458763,23.181839,1000,4,1,1459378268,1480287196,0
GSM,404,78,30976,22183,0,77.468948,23.173599,1000,3,1,1459487430,1480373303,0
GSM,404,78,30976,11383,0,77.47077900000001,23.17955,1000,3,1,1459487430,1486240385,0
GSM,404,78,30976,11472,0,77.470322,23.173599,1000,3,1,1459487430,1461104776,0
GSM,404,78,30974,11073,0,77.412415,23.258743,1000,2,1,1459786662,1476709042,0
GSM,404,78,30974,10291,0,77.415161,23.25737,1000,2,1,1459786662,1476709042,0
GSM,404,78,38004,12863,0,77.43507385253899,23.239517211914002,1000,1,1,1459944270,1459944270,0
GSM,404,78,38004,12861,0,77.436447143555,23.239517211914002,1000,1,1,1459944270,1459944270,0
GSM,404,93,1150,36172,0,77.407608032227,23.243637084960998,1000,1,1,1461752398,1461752398,0
LTE,404,78,40031,10798889,0,77.407608032227,23.276596069335998,1000,1,1,1465474949,1465474949,0
GSM,404,78,1150,38532,0,77.374649047852,23.209304809570003,1000,1,1,1439031434,1439031434,0
GSM,404,78,1153,19612,0,77.465286254883,23.232650756835998,1000,1,1,1450840776,1450840776,0
GSM,404,78,1152,54711,0,77.44606018066399,23.231277465820003,1000,1,1,1443048021,1443048021,0
GSM,404,78,4101,14309,0,77.41310119628899,23.265609741210998,1000,1,1,1435795897,1435795897,0
