,Unnamed: 0,radio,lon,lat,range,TowerID,Address
55,55,GSM,77.432934,23.229521,1250,40493-39045-13552,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
56,56,GSM,77.42982099999998,23.225893,1000,40493-39045-37963,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
57,57,GSM,77.434326,23.227998,1000,40493-39045-36713,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
58,58,GSM,77.431577,23.231151,1211,40493-39045-38014,"Vyapam ,Link Road 1 ,Shivaji Nagar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
59,59,GSM,77.43278199999997,23.230685,1000,40493-39045-36711,"Zone-II ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
60,60,GSM,77.41776999999998,23.255997,1000,40493-7207-36822,"Barkhedi ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
61,61,GSM,77.416077,23.25737,1000,40493-7207-36821,"Jr LIG Colony ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
62,62,GSM,77.412987,23.260231,1000,40493-7207-38722,"West Central Railway Colony ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
63,63,GSM,77.410759,23.261454,1000,40493-7207-38721,"Ghora Nakkas ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
64,64,GSM,77.41044699999998,23.264197,1000,40493-7207-38692,"Alpana Talkies ,Hamidiya road ,Ghora Nakkas ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
65,65,GSM,77.41040699999998,23.264351,1000,40493-7207-38691,"Alpana Talkies ,Hamidiya road ,Ghora Nakkas ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
66,66,GSM,77.41310119628899,23.268356323242003,1000,40493-7207-39652,"Bhopal Junction ,Bhopal Sanchi Road ,Kainchi Chola ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
67,67,GSM,77.41369,23.268356,1000,40493-7207-58652,"Bhopal Junction ,Bhopal Sanchi Road ,Kainchi Chola ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
68,68,GSM,77.414474487305,23.268356323242003,1000,40493-7207-36521,"Bhopal Junction ,Bhopal Sanchi Road ,Kainchi Chola ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
69,69,GSM,77.429536,23.232156,1000,40493-39045-38342,"DB City Mall ,DB Mall Square ,Maharana Pratap Nagar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
70,70,GSM,77.435888,23.225428,1000,40493-39045-38633,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
71,71,GSM,77.436476,23.224145999999998,1000,40493-39045-38632,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
72,72,GSM,77.436616,23.223051,1000,40493-39045-13721,"E-2 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
73,73,GSM,77.438232,23.221313000000002,1000,40493-39045-13722,"GRP Colony ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
74,74,GSM,77.43744699999998,23.218335999999997,1000,40493-39045-38241,"E-2 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
75,75,GSM,77.439537,23.215178,1000,40493-39045-19071,"E-3 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
76,76,GSM,77.437566,23.212832000000002,1000,40493-39045-19072,"E-3 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
77,77,GSM,77.435379,23.210434,1000,40493-39045-38563,"Arera Colony ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
78,78,GSM,77.436447,23.209145,1000,40493-39045-24033,"Deepak Nagar ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
79,79,GSM,77.43695500000003,23.205178,1000,40493-39045-24032,"E-7 ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
80,80,GSM,77.43422,23.2086,1000,40493-39045-38562,"Arera Colony ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
81,81,GSM,77.43679,23.221288,1000,40493-39045-13723,"E-2 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
82,82,GSM,77.440262,23.21609500000001,1000,40493-39045-37972,"E-3 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
83,83,GSM,77.438409,23.217182,1000,40493-39045-38242,"E-3 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
84,84,GSM,77.43240899999998,23.203231,1000,40493-39045-38183,"BASANT KUNJ ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
