,radio,lon,lat,range,TowerID
66,GSM,77.41310119628899,23.268356323242003,1000,40493-7207-39652
67,GSM,77.41369,23.268356,1000,40493-7207-58652
68,GSM,77.414474487305,23.268356323242003,1000,40493-7207-36521
69,GSM,77.429536,23.232156,1000,40493-39045-38342
70,GSM,77.435888,23.225428,1000,40493-39045-38633
71,GSM,77.436476,23.224146,1000,40493-39045-38632
72,GSM,77.436616,23.223051,1000,40493-39045-13721
73,GSM,77.438232,23.221313,1000,40493-39045-13722
74,GSM,77.43744699999998,23.218336,1000,40493-39045-38241
75,GSM,77.439537,23.215178,1000,40493-39045-19071
76,GSM,77.437566,23.212832,1000,40493-39045-19072
77,GSM,77.435379,23.210434,1000,40493-39045-38563
78,GSM,77.436447,23.209145,1000,40493-39045-24033
79,GSM,77.43695500000003,23.205178,1000,40493-39045-24032
80,GSM,77.43422,23.2086,1000,40493-39045-38562
81,GSM,77.43679,23.221288,1000,40493-39045-13723
82,GSM,77.440262,23.216095000000006,1000,40493-39045-37972
83,GSM,77.438409,23.217182,1000,40493-39045-38242
84,GSM,77.43240899999998,23.203231,1000,40493-39045-38183
85,GSM,77.436131,23.20301,1000,40493-39045-38182
86,GSM,77.436722,23.206064,1000,40493-39045-24031
87,GSM,77.43392,23.243637,1000,40493-39045-58551
88,GSM,77.433825,23.244636,1000,40493-39045-38411
89,GSM,77.42820739746101,23.249130249023,1000,40493-7207-51672
90,GSM,77.41035500000002,23.25851,1000,40493-7207-38723
91,GSM,77.410065,23.256828,1000,40493-7207-38661
92,GSM,77.410494,23.254751,1000,40493-7207-19091
93,GSM,77.413101,23.25322,1000,40493-7207-58273
94,GSM,77.413426,23.249962,1000,40493-7207-58272
95,GSM,77.412287,23.244103,1000,40493-7207-13641
96,GSM,77.423222,23.240012,1001,40493-39045-38341
97,GSM,77.429019,23.234773,1000,40493-39045-39762
98,GSM,77.429357,23.234543,1000,40493-39045-51703
99,GSM,77.42769,23.215701,1000,40493-39045-38172
100,GSM,77.430825,23.211612,1000,40493-39045-51541
101,GSM,77.426834,23.214278,1000,40493-39045-51543
102,GSM,77.42680899999998,23.210282,1000,40493-39045-51542
103,GSM,77.424275,23.209149,1000,40493-39045-38381
104,GSM,77.424181,23.209305,1000,40493-39045-13522
105,GSM,77.4286,23.217888,1000,40493-39045-38174
106,GSM,77.432327270508,23.195571899414002,1000,40493-39045-38203
107,GSM,77.433,23.231978,1000,40493-39045-13553
108,GSM,77.433853,23.233414,1000,40493-39045-38011
109,GSM,77.432785,23.235855,1000,40493-39045-51702
110,GSM,77.430796,23.234288,1000,40493-39045-24871
111,GSM,77.429867,23.233967,1000,40493-39045-24873
112,GSM,77.416252,23.242345,1000,40493-7207-38252
113,GSM,77.413439,23.24447,1000,40493-7207-38253
114,GSM,77.410094,23.254481,1000,40493-7207-38662
115,GSM,77.408981323242,23.264236450194996,1000,40493-7207-38693
116,GSM,77.441597,23.228874,1000,40493-39045-38012
117,GSM,77.439651,23.224411,1000,40493-39045-38631
118,GSM,77.440567016602,23.221664428710998,1000,40493-39045-37973
119,GSM,77.43939,23.225196,1000,40493-39045-58472
120,GSM,77.394983,23.212672,1000,40493-39045-38432
121,GSM,77.39433299999997,23.213425,1000,40493-39045-58213
122,GSM,77.39542,23.211365,1000,40493-39045-51553
123,GSM,77.396621704102,23.212051391602,1000,40493-39045-58212
124,GSM,77.407608032227,23.192825317382997,1000,40493-39045-36083
125,GSM,77.425265,23.238144,1000,40493-39045-39763
126,GSM,77.416878,23.242264,1000,40493-7207-58672
127,GSM,77.419756,23.242158,1000,40493-7207-51673
128,GSM,77.432827,23.231777,1000,40493-39045-24872
129,GSM,77.419651,23.226524,1000,40493-39045-38343
130,GSM,77.422543,23.228359,1000,40493-39045-22906
131,GSM,77.41145300000002,23.224686,1000,40493-39045-38163
132,GSM,77.40593,23.225021,1000,40493-39045-38592
133,GSM,77.403594,23.224411,1000,40493-39045-38591
134,GSM,77.40211500000002,23.225206,1000,40493-39045-38593
135,GSM,77.40211500000002,23.228989,1000,40493-39045-36582
136,GSM,77.400663,23.23783,1000,40493-39045-38221
137,GSM,77.391246,23.241558,1000,40493-7207-13544
138,GSM,77.397766,23.242493,1000,40493-39045-51641
139,GSM,77.395186,23.244823,1000,40493-7207-38113
140,GSM,77.390213,23.24076,1000,40493-7207-53971
141,GSM,77.388381958008,23.242263793944996,1000,40493-7207-13543
